 table_schema |             table_name             | rows_n 
 terep        | retailermaster                     |      0
 terep        | productmaster                      |      0
 terep        | productpricelist                   |      0
 terep        | distributorordercut                |      0
 terep        | distributororders                  |      0
(149 rows)

 table_schema |             table_name             | rows_n  
--------------+------------------------------------+---------
 terep        | retailersalestarget                | 5747485
 terep        | p90_1527_diageo_th_tesco           | 5747485
 terep        | distributorsales                   | 1882729
 terep        | p12_1527_diageo_th_ivy             | 1874118
 terep        | distributorinventory               |  125888
 terep        | p87_1527_diageo_th_villa           |  109443
 terep        | cpginventory                       |  109443
 terep        | cpgsales                           |  106610
 terep        | p19_1527_mro_soh_sell_in           |   88867
 terep        | p11_1527_ivy_soh                   |   83821
 terep        | cpgmaster                          |   35153
 terep        | p86_1527_diageo_th_tesco_store     |   35153
 terep        | p11_1527_diageo_th_themall_stock   |   29943
 terep        | retailerpos                        |   22226
 terep        | p13_1527_sell_in_tops              |   21870
 terep        | salesrepperformance                |   20608
 terep        | p98_1527_diageo_th_makro_30571     |   20608
 terep        | p19_1527_mro_tops                  |   10097
 terep        | distributororders                  |    9895
 terep        | p16_1527_diageo_th_cp              |    9895
 terep        | p11_1527_th_mro_soh_ending_stock   |    6244
 terep_cstm   | diageo_th_soh_ext_final            |    5631
 terep_cstm   | diageo_th_soh_ext                  |    5284
 terep        | p11_1527_mro_tops_new              |    5173
 terep        | p12_1527_diageo_th_makro_22808     |    4798
 terep        | miscentity1                        |    4365
 terep        | p19_1527_big_c_unit                |    3823
 terep        | p19_1527_mro_big_c_sales           |    3823
 terep        | p12_1527_makro_30571_new           |    2787
 tenopr_bkp   | file_transaction_dates_bkp         |    2214
 terep        | p33_1527                           |    2171
 terep        | p33_1527_product_hier              |    2171
 terep        | productpricelist                   |    1403
 terep        | p23_1527_th_soh_unit_price         |    1403
 terep        | distprodmapping                    |    1341
 terep        | productmaster                      |     997
 terep        | p12_1527_makro_22808_new           |     952
 terep        | p9_1527_mro_sku_mapping            |     811
 terep        | p1_1527_product_mapping            |     808
 terep        | uomconversionmaster                |     793
 tenopr_bkp   | extraction_audit_bkp               |     732
 tenopr       | extraction_audit                   |     628
 tenopr_bkp   | file_metrics_bkp                   |     600
 tenopr_bkp   | file_process_errors_bkp            |     518
 terep        | p22_1527_conversion_rate_ivy       |     442
 terep        | p13_1527_diageo_th_mro             |     356
 terep_cstm   | diageo_th_soh_opening              |     293
 terep        | p22_1527_makro_uom_conv_30571      |     197
 terep        | p1_1527_diageo_th_tops_sku         |     189
 tenopr       | emails                             |     172
 terep        | p11_1527_th_makro_soh_30571        |     168
 terep_cstm   | diageo_th_soh_ext_tesco            |     160
 terep        | p11_1527_th_soh_villa              |     137
 terep_cstm   | diageo_th_soh_ext_villa            |     134
 terep_cstm   | diageo_th_soh_ext_big_c            |     126
 terep        | p9_1527_tops_sku_mapping           |     113
 terep        | p11_1527_th_big_c_soh              |      98
 terep        | p22_1527_big_c_uom_conversion_mapp |      97
 terep        | p9_1527_sku_mapping_villa          |      96
 terep_cstm   | diageo_th_soh_ext_tops             |      91
 terep        | p11_1527_th_intermart_openingstock |      84
 terep_cstm   | diageo_th_soh_ext_cp               |      78
 terep_cstm   | tesco_bottle_conversion            |      74
 terep        | p12_1527_lotus_cs_btl              |      74
 terep        | distributormaster                  |      73
 terep        | p5_1527_diageo_th_dist_master      |      73
 tenopr       | file_process_errors                |      67
 terep        | p9_1527_th_tesco_sku_mapping       |      66
 terep        | p11_1527_soh_tesco_ending_stock    |      65
 terep        | p11_1527_th_soh_cp_all             |      65
 terep        | p9_1527_makro_30571_cut_stock_map  |      64
 terep        | p9_1527_big_c_sku_mapping          |      61
 terep        | p22_1527_makro_uom_conve_22808     |      57
 terep        | p11_1527_th_makro_soh_22808        |      56
 terep        | p9_1527_sku_mapping_cp             |      53
 terep        | p9_1527_makro_sku_mapping          |      53
 tenopr       | extraction_log                     |      42
 terep        | p11_1527_th_intermart_soh_sales    |      34
 terep_cstm   | diageo_th_soh_ext_intermart        |      30
 terep_cstm   | diageo_th_soh_ext_test             |      29
 terep        | p9_1527_makro_22808_cut_stock_map  |      24
 terep        | p33_1527_th_bundle_map             |      23
 terep        | p21_1527_th_bundle_map             |      23
 terep        | distributorgrn                     |      23
 tenopr_bkp   | extraction_log_bkp                 |      20
 terep_cstm   | th_sold_to_code_mapping            |       6
 terep_dirty  | cpgemployee_dirty                  |       0
 terep_dirty  | retailersalestarget_dirty          |       0
 terep_dirty  | batchmaster_dirty                  |       0
 terep_dirty  | productlifecycle_dirty             |       0
 terep_dirty  | regionmaster_dirty                 |       0
 terep_dirty  | territorymaster_dirty              |       0
 terep_dirty  | salesteammaster_dirty              |       0
 terep_dirty  | saleshierarchy_dirty               |       0
 terep_dirty  | merchandise_dirty                  |       0
 terep_dirty  | salesrepperformance_dirty          |       0
 terep_dirty  | partnervisit_dirty                 |       0
 tenopr_bkp   | audit_anomaly_log_bkp              |       0
 tenopr_bkp   | audit_log_bkp                      |       0
 tenopr_bkp   | audit_log_json_bkp                 |       0
 tenopr_bkp   | audit_log_stat_bkp                 |       0
 tenopr_bkp   | business_param_chkpnt_val_bkp      |       0
 tenopr_bkp   | emails_bkp                         |       0
 tenopr_bkp   | linechecksum_bkp                   |       0
 tenopr_bkp   | subscribers_subscription_audit_bkp |       0
 public       | testing                            |       0
 tenopr_bkp   | subscription_audit_bkp             |       0
 tenopr       | audit_log                          |       0
 tenopr       | business_param_chkpnt_val          |       0
 tenopr       | file_metrics                       |       0
 tenopr       | file_transaction_dates             |       0
 tenopr       | linechecksum                       |       0
 tenopr       | subscribers_subscription_audit     |       0
 tenopr       | subscription_audit                 |       0
 tenopr       | audit_log_json                     |       0
 tenopr       | audit_log_stat                     |       0
 tenopr       | audit_anomaly_log                  |       0
 terep        | taxmaster                          |       0
 terep        | uommaster                          |       0
 terep        | calendarmaster                     |       0
 terep        | geohierarchy                       |       0
 terep        | distributorreturns                 |       0
 terep        | channelmaster                      |       0
 terep        | geomapping                         |       0
 terep        | salesrepmapping                    |       0
 terep        | miscentity2                        |       0
 terep        | distretlmapping                    |       0
 terep        | prodhierarchy                      |       0
 terep        | promotionmaster                    |       0
 terep        | currencymaster                     |       0
 terep        | locationtaxes                      |       0
 terep        | employeemaster                     |       0
 terep        | produommaster                      |       0
 terep        | locationmaster                     |       0
 terep        | retailermaster                     |       0
 terep        | distributorordercut                |       0
 terep        | cpgorders                          |       0
 terep        | distributorsalestarget             |       0
 terep        | cpgordercut                        |       0
 terep        | cpgemployee                        |       0
 terep        | batchmaster                        |       0
 terep        | productlifecycle                   |       0
 terep        | regionmaster                       |       0
 terep        | territorymaster                    |       0
 terep        | salesteammaster                    |       0
 terep        | saleshierarchy                     |       0
 terep        | merchandise                        |       0
 terep        | partnervisit                       |       0
 terep        | udx_diageo_th_big_c                |       0
 terep        | udx_udx_diageo_th_big_c            |       0
 terep_cstm   | diageo_th_soh_makro_opening_stock  |       0
 terep_cstm   | diageo_th_soh_makro_ending_stock   |       0
 terep_cstm   | ivy_ship_to_code_mapping           |       0
 terep_cstm   | diageo_th_bundle_product_mst       |       0
 terep_cstm   | diageo_th_soh_ext_the_mall         |       0
 terep_dirty  | miscentity2_dirty                  |       0
 terep_dirty  | calendarmaster_dirty               |       0
 terep_dirty  | geohierarchy_dirty                 |       0
 terep_dirty  | uommaster_dirty                    |       0
 terep_dirty  | uomconversionmaster_dirty          |       0
 terep_dirty  | prodhierarchy_dirty                |       0
 terep_dirty  | distprodmapping_dirty              |       0
 terep_dirty  | produommaster_dirty                |       0
 terep_dirty  | distributorreturns_dirty           |       0
 terep_dirty  | promotionmaster_dirty              |       0
 terep_dirty  | channelmaster_dirty                |       0
 terep_dirty  | taxmaster_dirty                    |       0
 terep_dirty  | produommaster_dirty_dirty          |       0
 terep_dirty  | salesrepmapping_dirty              |       0
 terep_dirty  | employeemaster_dirty               |       0
 terep_dirty  | currencymaster_dirty               |       0
 terep_dirty  | geomapping_dirty                   |       0
 terep_dirty  | miscentity1_dirty                  |       0
 terep_dirty  | locationtaxes_dirty                |       0
 terep_dirty  | distributorgrn_dirty               |       0
 terep_dirty  | distretlmapping_dirty              |       0
 terep_dirty  | distributorsales_dirty             |       0
 terep_dirty  | cpgsales_dirty                     |       0
 terep_dirty  | retailerpos_dirty                  |       0
 terep_dirty  | distributorinventory_dirty         |       0
 terep_dirty  | locationmaster_dirty               |       0
 terep_dirty  | distributormaster_dirty            |       0
 terep_dirty  | retailermaster_dirty               |       0
 terep_dirty  | productmaster_dirty                |       0
 terep_dirty  | productpricelist_dirty             |       0
 terep_dirty  | distributorordercut_dirty          |       0
 terep_dirty  | distributororders_dirty            |       0
 terep_dirty  | cpgorders_dirty                    |       0
 terep_dirty  | distributorsalestarget_dirty       |       0
 terep_dirty  | cpgmaster_dirty                    |       0
 terep_dirty  | cpginventory_dirty                 |       0
 terep_dirty  | cpgordercut_dirty                  |       0
(192 rows)

